Species	Country	Locality	Date	Year	Month	Temperature	Código	F0 (%)	F1 (%)	F2 (%)	F3 (%)	F4 (%)	M0 (%)	M1(%)	M2 (%)	
E. crinita	Tunisia	Rimel (Bizerte)	14/12/2020	2020	December 		D20	100	0	0	0	0				
E. crinita	Tunisia	Rimel (Bizerte)		2021	January 		J21									
E. crinita	Tunisia	Rimel (Bizerte)		2021	February		F21									
E. crinita	Tunisia	Rimel (Bizerte)	21/3/2021	2021	March		M21	98	2	0	0	0	100	0	0	
E. crinita	Tunisia	Rimel (Bizerte)	25/4/2021	2021	April		A21	50	24	16	10	0	48	48	4	
E. crinita	Tunisia	Rimel (Bizerte)	23/5/2021	2021	May		M21	34	8	16	14	28	8	32	60	
E. crinita	Tunisia	Rimel (Bizerte)	20/6/2021	2021	June		J21	10	8	10	16	56	8	16	76	
E. crinita	Tunisia	Rimel (Bizerte)	17/7/2021	2021	July		J21	6	4	8	18	64				
E. crinita	Tunisia	Rimel (Bizerte)	22/8/2021	2021	Agost		A21	16	24	16	14	30	8	36	56	
E. crinita	Tunisia	Rimel (Bizerte)	26/9/2021	2021	September		S21	20	10	22	30	18	48	8	44	
E. crinita	Tunisia	Rimel (Bizerte)	24/10/2021	2021	October		O21	56	14	22	4	4	84	0	16	
E. crinita	Tunisia	Rimel (Bizerte)	21/11/2021	2021	November		N21	94	4	2	0	0	100	0	0	
E. crinita	Tunisia	Rimel (Bizerte)	19/12/2021	2021	December 		D21	100	0	0	0	0	100	0	0	
E. crinita	Tunisia	Rimel (Bizerte)	23/1/2022	2022	January 		J22	100	0	0	0	0	100	0	0	
E. crinita	Tunisia	Rimel (Bizerte)	20/2/2022	2022	February		F22	100	0	0	0	0	100	0	0	
E. crinita	Tunisia	Rimel (Bizerte)	27/3/2022	2022	March		M22	96	4	0	0	0	92	8	0	
E. crinita	Tunisia	Rimel (Bizerte)	24/4/2022	2022	April		A22	44	18	20	14	4	28	64	8	
E. crinita	Tunisia	Rimel (Bizerte)	22/5/2022	2022	May		M22	8	4	6	16	66	8	32	60	
E. crinita	Tunisia	Rimel (Bizerte)	19/6/2022	2022	June		J22	6	6	12	14	62	0	24	76	
E. crinita	Tunisia	Rimel (Bizerte)		2022	July		J22						16	24	60	
E. crinita	Tunisia	Rimel (Bizerte)		2022	Agost		A22									
E. crinita	Tunisia	Rimel (Bizerte)		2022	September		S22									
E. crinita	Tunisia	Rimel (Bizerte)		2022	October		O22									
E. crinita	Tunisia	Rimel (Bizerte)		2022	November		N22									
E. crinita	Tunisia	Rimel (Bizerte)		2022	December 		D22									
E. crinita	France	Sta. Marguerite, Lerins, France		2020	January 		J20									
E. crinita	France	Sta. Marguerite, Lerins, France		2020	February		F20									
E. crinita	France	Sta. Marguerite, Lerins, France		2020	March		M20									
E. crinita	France	Sta. Marguerite, Lerins, France		2020	April		A20									
E. crinita	France	Sta. Marguerite, Lerins, France	26/05/2020	2020	May		M20	61	15	8	15	1	44	48	8	
E. crinita	France	Sta. Marguerite, Lerins, France	18/06/2020	2020	June		J20	63	4	3	12	19	72	28	0	
E. crinita	France	Sta. Marguerite, Lerins, France	10/07/2020	2020	July	26,4	J20	44	28	1	27	0				
E. crinita	France	Sta. Marguerite, Lerins, France	05/08/2020	2020	Agost	26,9	A20	100	0	0	0	0				
E. crinita	France	Sta. Marguerite, Lerins, France	10/09/2020	2020	September	23,5	S20	93	7	0	0	0				
E. crinita	France	Sta. Marguerite, Lerins, France		2020	October	19,6	O20						32	60	8	
E. crinita	France	Sta. Marguerite, Lerins, France		2020	November	18,0	N20									
E. crinita	France	Sta. Marguerite, Lerins, France		2020	December 	15,4	D20									
E. crinita	France	Sta. Marguerite, Lerins, France		2021	January 	14,0	J21						28	72	0	
E. crinita	France	Sta. Marguerite, Lerins, France	15/02/2021	2021	February	13,8	F21	24	45	20	10	0	22	56	22	
E. crinita	France	Sta. Marguerite, Lerins, France	15/03/2021	2021	March	14,4	M21	8	20	18	34	20	28	36	36	
E. crinita	France	Sta. Marguerite, Lerins, France	14/04/2021	2021	April	15,2	A21	17	30	27	17	10	0	92	8	
E. crinita	France	Sta. Marguerite, Lerins, France	20/05/2021	2021	May	16,8	M21	4	7	27	18	44	0	36	64	
E. crinita	France	Sta. Marguerite, Lerins, France	02/07/2021	2021	June	22,7	J21	52	30	18	0	0	0	60	40	
E. crinita	France	Sta. Marguerite, Lerins, France	22/07/2021	2021	July	24,5	J21	72	28	0	0	0	8	88	4	
E. crinita	France	Sta. Marguerite, Lerins, France	20/08/2021	2021	Agost	25,2	A21	100	0	0	0	0	100	0	0	
E. crinita	France	Sta. Marguerite, Lerins, France	30/09/2021	2021	September	24,0	S21	95	5	0	0	0				
E. crinita	France	Sta. Marguerite, Lerins, France	26/10/2021	2021	October	21,2	O21	41	23	25	2	8	0	88	12	
E. crinita	France	Sta. Marguerite, Lerins, France	30/11/2021	2021	November	17,7	N21	16	8	1	75	0	28	72	0	
E. crinita	France	Sta. Marguerite, Lerins, France	14/12/2021	2021	December 	15,4	D21	46	44	9	2	0	0	80	20	
E. crinita	France	Sta. Marguerite, Lerins, France	28/01/2022	2022	January 	14,2	J22	32	42	19	7	0	0	20	80	
E. crinita	France	Sta. Marguerite, Lerins, France		2022	February	13,9	F22									
E. crinita	France	Sta. Marguerite, Lerins, France	10/03/2022	2022	March	13,7	M22	77	15	7	1	0	100	0	0	
E. crinita	France	Sta. Marguerite, Lerins, France		2022	April	14,9	A22									
E. crinita	France	Sta. Marguerite, Lerins, France	20/05/2022	2022	May	20,1	M22	38	25	20	10	7	0	24	76	
E. crinita	France	Sta. Marguerite, Lerins, France	24/06/2022	2022	June	24,4	J22	68	14	12	5	2				
E. crinita	France	Sta. Marguerite, Lerins, France	24/07/2022	2022	July	27,7	J22	100	0	0	0	0				
E. crinita	France	Sta. Marguerite, Lerins, France		2022	Agost		A22									
E. crinita	France	Sta. Marguerite, Lerins, France		2022	September		S22									
E. crinita	France	Sta. Marguerite, Lerins, France		2022	October		O22									
E. crinita	France	Sta. Marguerite, Lerins, France		2022	November		N22									
E. crinita	France	Sta. Marguerite, Lerins, France		2022	December 		D22									
E. crinita	Spain	Cala Estreta		2020	January 		J20									
E. crinita	Spain	Cala Estreta	04/02/2020	2020	February		F20	149	4	2	0	0				
E. crinita	Spain	Cala Estreta		2020	March		M20									
E. crinita	Spain	Cala Estreta		2020	April		A20									
E. crinita	Spain	Cala Estreta	08/05/2020	2020	May	20,5	M20	19	14	25	27	15	0	80	20	
E. crinita	Spain	Cala Estreta	29/05/2020	2020	June	21,1	J20	6	13	27	37	17	38	54	8	
E. crinita	Spain	Cala Estreta	29/06/2020	2020	July	23,9	J20	10	18	30	29	13				
E. crinita	Spain	Cala Estreta	30/07/2020	2020	Agost	24,6	A20	13	11	24	30	22	17	79	4	
E. crinita	Spain	Cala Estreta	26/08/2020	2020	September	22,4	S20	9	48	32	10	0				
E. crinita	Spain	Cala Estreta	30/09/2020	2020	October	18,1	O20	45	45	10	0	0				
E. crinita	Spain	Cala Estreta	28/10/2020	2020	November	16,3	N20	39	54	7	0	0				
E. crinita	Spain	Cala Estreta		2020	December 	14,4	D20									
E. crinita	Spain	Cala Estreta		2021	January 	12,9	J21									
E. crinita	Spain	Cala Estreta	27/01/2021	2021	February	13,1	F21	100	0	0	0	0				
E. crinita	Spain	Cala Estreta	29/03/2021	2021	March	13,2	M21	68	21	10	1	0	0	80	20	
E. crinita	Spain	Cala Estreta	07/05/2021	2021	April	14,2	A21	30	23	22	18	8				
E. crinita	Spain	Cala Estreta	27/05/2021	2021	May	16,0	M21	21	19	27	22	10	50	0	50	
E. crinita	Spain	Cala Estreta	02/07/2021	2021	June	21,6	J21	31	23	19	27	0	0	25	75	
E. crinita	Spain	Cala Estreta	22/07/2021	2021	July	24,0	J21	25	12	17	35	11	20	20	60	
E. crinita	Spain	Cala Estreta	23/08/2021	2021	Agost	23,8	A21	73	21	6	0	0	11	22	67	
E. crinita	Spain	Cala Estreta	01/10/2021	2021	September	22,6	S21	80	18	3	0	0	0	29	71	
E. crinita	Spain	Cala Estreta	18/10/2021	2021	October	19,8	O21	29	10	15	20	26	13	25	63	
E. crinita	Spain	Cala Estreta		2021	November	16,4	N21									
E. crinita	Spain	Cala Estreta	13/12/2021	2021	December 	14,7	D21	40	23	33	3	1	29	43	29	
																
																
																
																
																
																
																
																
																
																
																
																
