"Population"	"Year"	"month_extract"	"lon"	"lat"	"stat_year"	"year_month"	"Date"	"year_day"	"bot_temp_day"	"bot_t"	"max_t"	"bot_t_var"	"bot_t_var_month"	"sst_day"	"sst"	"max_sst"	"min_sst"	"sst_var"	"sst_var_month"	"nh4_day"	"nh4"	"max_nh4"	"min_nh4"	"nh4_var"	"nh4_var_month"	"no3_day"	"no3"	"max_no3"	"min_no3"	"no3_var"	"no3_var_month"	"po4_day"	"po4"	"max_po4"	"min_po4"	"po4_var"	"po4_var_month"	"photoperiod"	"photoperiod_month"
"169"	"Port de la Selva"	2018	"05"	3.185744	42.346378	"Port de la Selva_2018"	"2018.05"	2018-05-31	"2018.05.31"	15.0500679016113	15.3381633758545	14.7870397567749	2.46444199771181	0.324100678007906	18.5039329528809	18.5039329528809	15.8723974227905	NA	NA	1.00912094272212	0.373280018568039	0.74130254983902	0.906271696090698	NA	0.198999606598332	0.169663188911724	1.23740327358246	1.40465831756592	1.70873141288757	NA	0.571882230294416	0.132570251158951	0.0329780168831348	0.0508449152112007	0.0701880902051926	NA	0.0323540303173441	0.00966017272730403	15.0259610495943	14.5697837176815
"170"	"Port de la Selva"	2018	"05"	3.185744	42.346378	"Port de la Selva_2018"	"2018.05"	2018-05-31	"2018.05.31"	15.0500679016113	15.3381633758545	14.7870397567749	2.46444199771181	0.324100678007906	NA	NA	NA	NA	NA	NA	0.373280018568039	0.74130254983902	0.906271696090698	NA	0.198999606598332	0.169663188911724	1.23740327358246	1.40465831756592	1.70873141288757	NA	0.571882230294416	0.132570251158951	0.0329780168831348	0.0508449152112007	0.0701880902051926	NA	0.0323540303173441	0.00966017272730403	15.0259610495943	14.5697837176815
"171"	"Port de la Selva"	2018	"06"	3.185744	42.346378	"Port de la Selva_2018"	"2018.06"	2018-07-12	"2018.07.12"	15.4796104431152	18.7689990997314	15.4181361198425	2.46444199771181	1.27502045042258	23.036247253418	22.0154056549072	20.5979251861572	NA	NA	0.668925168602348	0.369552344083786	0.509689956903458	1.14960491657257	NA	0.198999606598332	0.252817971878783	1.52971923351288	1.50417047739029	2.77841567993164	NA	0.571882230294416	0.54269151653122	0.0206835959106684	0.0303732566535473	0.0607337467372418	NA	0.0323540303173441	0.0129381328227605	15.0705799342903	15.2208346043778
"172"	"Port de la Selva"	2018	"06"	3.185744	42.346378	"Port de la Selva_2018"	"2018.06"	2018-07-12	"2018.07.12"	15.4796104431152	18.7689990997314	15.4181361198425	2.46444199771181	1.27502045042258	NA	NA	NA	NA	NA	NA	0.369552344083786	0.509689956903458	1.14960491657257	NA	0.198999606598332	0.252817971878783	1.52971923351288	1.50417047739029	2.77841567993164	NA	0.571882230294416	0.54269151653122	0.0206835959106684	0.0303732566535473	0.0607337467372418	NA	0.0323540303173441	0.0129381328227605	15.0705799342903	15.2208346043778
"173"	"Port de la Selva"	2018	"07"	3.185744	42.346378	"Port de la Selva_2018"	"2018.07"	2018-07-24	"2018.07.24"	15.2069902420044	16.2274436950684	15.3185710906982	2.46444199771181	0.463918723664038	NA	NA	NA	NA	NA	NA	0.410973429679871	0.397302597761154	0.442234218120575	NA	0.198999606598332	0.0226011019742743	1.86321449279785	1.57708370685577	2.00446343421936	NA	0.571882230294416	0.201003894267507	0.0237766467034817	0.0223175752907991	0.0264741573482752	NA	0.0323540303173441	0.0015443439961529	14.7608060372789	14.9467292234724
"174"	"Port de la Selva"	2018	"07"	3.185744	42.346378	"Port de la Selva_2018"	"2018.07"	2018-07-24	"2018.07.24"	15.2069902420044	16.2274436950684	15.3185710906982	2.46444199771181	0.463918723664038	23.5301952362061	24.7359848022461	23.4184303283691	NA	NA	0.918395837658747	0.410973429679871	0.397302597761154	0.442234218120575	NA	0.198999606598332	0.0226011019742743	1.86321449279785	1.57708370685577	2.00446343421936	NA	0.571882230294416	0.201003894267507	0.0237766467034817	0.0223175752907991	0.0264741573482752	NA	0.0323540303173441	0.0015443439961529	14.7608060372789	14.9467292234724
"175"	"Port de la Selva"	2018	"08"	3.185744	42.346378	"Port de la Selva_2018"	"2018.08"	2018-09-05	"2018.09.05"	15.5008974075317	20.4168453216553	17.0175094604492	2.46444199771181	0.98318075043423	NA	NA	NA	NA	NA	NA	0.277921736240387	0.351706713438034	0.41122031211853	NA	0.198999606598332	0.0309651387118479	1.55593764781952	2.03027701377869	2.80315160751343	NA	0.571882230294416	0.349910447706258	0.0212433394044638	0.0286868922412396	0.0386572293937206	NA	0.0323540303173441	0.00656956437557982	13.0252617073269	13.8989931413484
"176"	"Port de la Selva"	2018	"08"	3.185744	42.346378	"Port de la Selva_2018"	"2018.08"	2018-09-05	"2018.09.05"	15.5008974075317	20.4168453216553	17.0175094604492	2.46444199771181	0.98318075043423	22.0025100708008	25.524040222168	23.4175205230713	NA	NA	1.06583588125115	0.277921736240387	0.351706713438034	0.41122031211853	NA	0.198999606598332	0.0309651387118479	1.55593764781952	2.03027701377869	2.80315160751343	NA	0.571882230294416	0.349910447706258	0.0212433394044638	0.0286868922412396	0.0386572293937206	NA	0.0323540303173441	0.00656956437557982	13.0252617073269	13.8989931413484
"177"	"Port de la Selva"	2018	"09"	3.185744	42.346378	"Port de la Selva_2018"	"2018.09"	2018-09-28	"2018.09.28"	15.662579536438	20.2492733001709	16.1891765594482	2.46444199771181	1.18507216665409	21.1650943756104	22.3310375213623	21.7856464385986	NA	NA	0.391116596809258	0.278485387563705	0.278203561902046	0.341389894485474	NA	0.198999606598332	0.0192727599063236	1.88682579994202	1.81682372093201	2.0186448097229	NA	0.571882230294416	0.178013113360781	0.0279379282146692	0.0224548177793622	0.0297289919108152	NA	0.0323540303173441	0.00281633470784467	11.9444372466968	12.5332454661522
"178"	"Port de la Selva"	2018	"09"	3.185744	42.346378	"Port de la Selva_2018"	"2018.09"	2018-09-28	"2018.09.28"	15.662579536438	20.2492733001709	16.1891765594482	2.46444199771181	1.18507216665409	NA	NA	NA	NA	NA	NA	0.278485387563705	0.278203561902046	0.341389894485474	NA	0.198999606598332	0.0192727599063236	1.88682579994202	1.81682372093201	2.0186448097229	NA	0.571882230294416	0.178013113360781	0.0279379282146692	0.0224548177793622	0.0297289919108152	NA	0.0323540303173441	0.00281633470784467	11.9444372466968	12.5332454661522
