Species	Country	Locality	Date	Year	Month	Temperature	Código	F0 (%)	F1 (%)	F2 (%)	F3 (%)	F4 (%)				
C. mediterranea	Morocco	Cap des trois fourches		2020	March		M20									
C. mediterranea	Morocco	Cap des trois fourches		2020	April		A20									
C. mediterranea	Morocco	Cap des trois fourches		2020	June		M20									
C. mediterranea	Morocco	Cap des trois fourches		2020	June		J20									
C. mediterranea	Morocco	Cap des trois fourches		2020	July		J20									
C. mediterranea	Morocco	Cap des trois fourches		2020	Agost		A20									
C. mediterranea	Morocco	Cap des trois fourches		2020	September		S20									
C. mediterranea	Morocco	Cap des trois fourches		2020	October		O20									
C. mediterranea	Morocco	Cap des trois fourches		2020	November		N20									
C. mediterranea	Morocco	Cap des trois fourches		2021	December 		D20									
C. mediterranea	Morocco	Cap des trois fourches	28/01/2021	2021	January 	15,27	J21	100	0	0	0	0				
C. mediterranea	Morocco	Cap des trois fourches	28/02/2021	2021	February	14,65	F21	100	0	0	0	0				
C. mediterranea	Morocco	Cap des trois fourches	28/03/2021	2021	March	15,39	M21	100	0	0	0	0				
C. mediterranea	Morocco	Cap des trois fourches	28/04/2021	2021	April	17,86	A21	100	0	0	0	0				
C. mediterranea	Morocco	Cap des trois fourches	28/05/2021	2021	May	20,15	M21	100	0	0	0	0				
C. mediterranea	Morocco	Cap des trois fourches	28/06/2021	2021	June	22,63	J21	14	21	21	34	9				
C. mediterranea	Morocco	Cap des trois fourches	28/07/2021	2021	July	22,89	J21	12	13	22	31	22				
C. mediterranea	Morocco	Cap des trois fourches	28/08/2021	2021	Agost	23,04	A21	8	18	23	32	18				
C. mediterranea	Morocco	Cap des trois fourches	28/09/2021	2021	September	20,68	S21	9	18	14	36	23				
C. mediterranea	Morocco	Cap des trois fourches	28/10/2021	2021	October	19,73	O21	12	18	49	13	9				
C. mediterranea	Morocco	Cap des trois fourches	28/11/2021	2021	November	17,68	N21	25	26	26	4	19				
C. mediterranea	Morocco	Cap des trois fourches		2022	December 		D21									
C. mediterranea	Morocco	Cap des trois fourches		2022	January 		J22									
C. mediterranea	Morocco	Cap des trois fourches		2022	February		F22									
C. mediterranea	Morocco	Cap des trois fourches		2022	March		M22									
C. mediterranea	Morocco	Cap des trois fourches		2022	April		A22									
C. mediterranea	Morocco	Cap des trois fourches		2022	May		M22									
C. mediterranea	Morocco	Cap des trois fourches		2022	June		J22									
C. mediterranea	Morocco	Cap des trois fourches		2022	July		J22									
C. mediterranea	Morocco	Cap des trois fourches		2022	Agost		A22									
C. mediterranea	Morocco	Cap des trois fourches		2022	September		S22									
C. mediterranea	Morocco	Cap des trois fourches		2022	October		O22									
C. mediterranea	Morocco	Cap des trois fourches		2022	November		N22									
C. mediterranea	Morocco	Cap des trois fourches		2022	December 		D22									
E. crinita	Italy	Frigole (Lecce)	09/02/2020	2020	January 		J20	95	4	2	0	0				
E. crinita	Italy	Frigole (Lecce)		2020	February		F20									
E. crinita	Italy	Frigole (Lecce)		2020	March		M20									
E. crinita	Italy	Frigole (Lecce)		2020	April		A20									
E. crinita	Italy	Frigole (Lecce)	30/05/2020	2020	May		M20	0	74	23	3	0				
E. crinita	Italy	Frigole (Lecce)		2020	June		J20									
E. crinita	Italy	Frigole (Lecce)	29/07/2020	2020	July	28,1	J20	100	0	0	0	0				
E. crinita	Italy	Frigole (Lecce)	25/08/2020	2020	Agost	27,8	A20	100	0	0	0	0				
E. crinita	Italy	Frigole (Lecce)		2020	September	25,3	S20									
E. crinita	Italy	Frigole (Lecce)	01/10/2020	2020	October	20,2	O20	100	0	0	0	0				
E. crinita	Italy	Frigole (Lecce)	23/11/2020	2020	November	17,3	N20	100	0	0	0	0				
E. crinita	Italy	Frigole (Lecce)	18/12/2020	2020	December 	14,7	D20	7	89	4	0	0				
E. crinita	Italy	Frigole (Lecce)		2021	January 	12,4	J21									
E. crinita	Italy	Frigole (Lecce)	26/02/2021	2021	February	12,7	F21	5	6	90	0	0				
E. crinita	Italy	Frigole (Lecce)	27/03/2021	2021	March	12,9	M21	5	28	45	23	0				
E. crinita	Italy	Frigole (Lecce)		2021	April	16,7	A21									
E. crinita	Italy	Frigole (Lecce)	19/05/2021	2021	May	21,7	M21	0	18	31	15	36				
E. crinita	Italy	Frigole (Lecce)	28/06/2021	2021	June	24,0	J21	100	0	0	0	0				
E. crinita	Italy	Frigole (Lecce)	20/07/2021	2021	July	27,4	J21	100	0	0	0	0				
