"Population"	"Species"	"env_var"	"lag"	"corr"
"160"	"Port de la Selva"	"Ericaria crinita"	"sst"	-3	-0.354843712384125
"161"	"Port de la Selva"	"Ericaria crinita"	"sst"	-2	-0.339724578897629
"162"	"Port de la Selva"	"Ericaria crinita"	"sst"	-1	-0.177518045906287
"163"	"Port de la Selva"	"Ericaria crinita"	"sst"	0	0.0962473856017615
"164"	"Port de la Selva"	"Ericaria crinita"	"sst"	1	0.378679101856299
"165"	"Port de la Selva"	"Ericaria crinita"	"sst"	2	0.44647622496705
"166"	"Port de la Selva"	"Ericaria crinita"	"sst"	3	0.256455909098165
"167"	"Port de la Selva"	"Ericaria crinita"	"sst"	4	0.0350080473004488
"168"	"Port de la Selva"	"Ericaria crinita"	"sst"	5	-0.220275296469202
"169"	"Port de la Selva"	"Ericaria crinita"	"sst"	6	-0.301319093193998
"170"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	-6	0.0163265732692019
"171"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	-5	0.0305109866198858
"172"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	-4	-0.11426529262901
"173"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	-3	-0.335368546464803
"174"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	-2	-0.350505727403126
"175"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	-1	-0.164144144349262
"176"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	0	0.0482261284061732
"177"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	1	0.239085406860349
"178"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	2	0.282149715125233
"179"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	3	0.231435746264212
"180"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	4	0.0811646247524241
"181"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	5	-0.203699776001479
"182"	"Port de la Selva"	"Ericaria crinita"	"bot_t"	6	-0.272803586556947
"183"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	-6	-0.185149271215977
"184"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	-5	-0.244055711282109
"185"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	-4	-0.291402151263446
"186"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	-3	-0.227456114334044
"187"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	-2	0.0261203474052613
"188"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	-1	0.304818587249875
"189"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	0	0.453955133418185
"190"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	1	0.382390450079401
"191"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	2	0.215363677160927
"192"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	3	-0.0492739141433438
"193"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	4	-0.288502162228974
"194"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	5	-0.341809534586838
"195"	"Port de la Selva"	"Ericaria crinita"	"photoperiod"	6	-0.209033868500541
"196"	"Port de la Selva"	"Ericaria crinita"	"po4"	-6	-0.0849977537444986
"197"	"Port de la Selva"	"Ericaria crinita"	"po4"	-5	-0.0421477833980945
"198"	"Port de la Selva"	"Ericaria crinita"	"po4"	-4	0.130729039559743
"199"	"Port de la Selva"	"Ericaria crinita"	"po4"	-3	0.281260029619014
"200"	"Port de la Selva"	"Ericaria crinita"	"po4"	-2	0.273693125122046
"201"	"Port de la Selva"	"Ericaria crinita"	"po4"	-1	0.0868806445474157
"202"	"Port de la Selva"	"Ericaria crinita"	"po4"	0	-0.145727288346568
"203"	"Port de la Selva"	"Ericaria crinita"	"po4"	1	-0.259896389100976
"204"	"Port de la Selva"	"Ericaria crinita"	"po4"	2	-0.27151309192608
"205"	"Port de la Selva"	"Ericaria crinita"	"po4"	3	-0.255138755233644
"206"	"Port de la Selva"	"Ericaria crinita"	"po4"	4	-0.0201940460283329
"207"	"Port de la Selva"	"Ericaria crinita"	"po4"	5	0.195199670948351
"208"	"Port de la Selva"	"Ericaria crinita"	"po4"	6	0.178120436328448
"209"	"Port de la Selva"	"Ericaria crinita"	"no3"	-6	-0.0786122970913983
"210"	"Port de la Selva"	"Ericaria crinita"	"no3"	-5	-0.0768430520983601
"211"	"Port de la Selva"	"Ericaria crinita"	"no3"	-4	0.0539210332962137
"212"	"Port de la Selva"	"Ericaria crinita"	"no3"	-3	0.212825698937983
"213"	"Port de la Selva"	"Ericaria crinita"	"no3"	-2	0.255423758995789
"214"	"Port de la Selva"	"Ericaria crinita"	"no3"	-1	0.210776934508562
"215"	"Port de la Selva"	"Ericaria crinita"	"no3"	0	0.0619124613750053
"216"	"Port de la Selva"	"Ericaria crinita"	"no3"	1	-0.0509755242533529
"217"	"Port de la Selva"	"Ericaria crinita"	"no3"	2	0.0103223172671095
"218"	"Port de la Selva"	"Ericaria crinita"	"no3"	3	-0.0330960577318611
"219"	"Port de la Selva"	"Ericaria crinita"	"no3"	4	0.072527791830262
"220"	"Port de la Selva"	"Ericaria crinita"	"no3"	5	0.202997667578313
