"Population"	"Species"	"Date"	"Month"	"Quadrat"	"Cauloid_size"	"Leaf_size"	"Fertility"	"Stage"	"Subpopulation"	"Year"	"uniq_id"	"lon"	"lat"
"52"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	NA	NA	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"53"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	NA	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"54"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	6	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"55"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	NA	NA	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"56"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	NA	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"57"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"58"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"59"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	4	8	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"60"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	NA	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"61"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	NA	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"62"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	3	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"63"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	1	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"64"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"65"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	NA	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"66"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	NA	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
